CNES,TPGESTAO,SGRUPHAB
2659107,M,1708
2673916,E,1701
2673916,E,1706
2676060,M,1701
2676060,M,1709
2686953,D,1707
2686953,E,1706
2686953,E,1707
2688573,D,1714
2688573,E,1714
2688573,E,1721
2688689,D,1701
2688689,D,1705
2688689,D,1708
2688689,D,1709
2688689,E,1708
2688689,E,1709
2688689,E,1717
2688689,E,1723
2691868,D,1701
2691868,D,1711
2691868,E,1711
2695324,M,1701
2695324,M,1707
2695324,M,1708
2695324,M,1709
2695324,M,1718
2695324,M,1723
2697696,M,1701
2697696,M,1707
2697696,M,1708
2697696,M,1709
2697696,M,1712
2697696,M,1713
2697696,M,1717
2697696,M,1722
2704900,E,1701
2704900,E,1706
2704900,E,1707
2704900,E,1709
2705982,D,1701
2705982,D,1707
2705982,D,1708
2705982,D,1713
2705982,E,1713
2705982,E,1718
2705982,E,1723
2705982,M,1701
2707918,D,1707
2707918,D,1708
2707918,D,1717
2707918,D,1718
2707918,E,1701
2707918,E,1707
2707918,E,1708
2707918,E,1718
2708779,M,1707
2716801,M,1711
2723190,M,1705
2723190,M,1715
2723190,M,1716
2723220,M,1701
2723220,M,1712
2723220,M,1713
2723220,M,1717
2723220,M,1722
2726653,M,1714
2726998,M,1702
2726998,M,1713
2726998,M,1717
2737434,E,1701
2737434,E,1704
2737434,E,1707
2737434,E,1717
2737434,E,1723
2740338,E,1701
2740338,E,1713
2740338,E,1717
2740338,E,1723
2741989,D,1706
2741989,E,1706
2741989,E,1723
2743469,M,1706
2743469,M,1718
2743469,M,1723
2748029,D,1701
2748029,D,1705
2748029,E,1705
2748029,E,1708
2748223,D,1707
2748223,D,1708
2748223,D,1709
2748223,E,1701
2748223,E,1707
2748223,E,1708
2748223,E,1709
2748223,E,1718
2748223,E,1719
2748223,E,1723
2749319,M,1714
2749319,M,1721
2754843,M,1706
2754843,M,1709
2755130,E,1706
2755130,E,1707
2755130,E,1708
2755130,E,1709
2755130,E,1723
2756951,M,1706
2757761,D,1719
2757761,E,1719
2758164,D,1707
2758164,D,1708
2758164,M,1701
2758164,M,1707
2758164,M,1708
2758164,M,1718
2758164,M,1723
2761092,D,1701
2761092,D,1707
2761092,D,1708
2761092,D,1717
2761092,M,1707
2761092,M,1708
2761092,M,1717
2761092,M,1723
2772280,D,1706
2772280,D,1707
2772280,D,1714
2772280,D,1715
2772280,D,1718
2772280,M,1701
2772280,M,1706
2772280,M,1707
2772280,M,1714
2772280,M,1715
2772310,D,1701
2772310,D,1707
2772310,M,1707
2772310,M,1723
2772566,M,1704
2772566,M,1706
2772566,M,1715
2772566,M,1719
2772566,M,1720
2775999,D,1701
2775999,D,1706
2775999,D,1707
2775999,D,1713
2775999,D,1718
2775999,D,1723
2781859,D,1701
2781859,D,1708
2781859,D,1709
2784602,M,1706
2786117,E,1706
2786117,E,1707
2786117,E,1718
2786117,E,1719
2786435,M,1701
2786435,M,1707
2786435,M,1708
2786435,M,1709
2786435,M,1718
2790602,D,1707
2790602,D,1708
2790602,D,1709
2790602,E,1707
2790602,E,1708
2790602,E,1709
2795671,E,1706
2798298,M,1701
2798298,M,1707
2798298,M,1708
2798298,M,1712
2798298,M,1718
2798298,M,1723
2799286,D,1706
2802104,D,1706
2802104,D,1707
2802104,D,1717
2802104,E,1706
2802104,E,1707
2802104,E,1717
2802104,E,1718
2802112,D,1705
2802112,D,1706
2802112,M,1705
2816210,E,1707
2816210,E,1708
2816210,E,1709
2816210,E,1723
2816210,M,1701
2816210,M,1707
2816210,M,1708
2816210,M,1709
3021114,M,1701
3021114,M,1707
3021114,M,1708
3021114,M,1712
3021114,M,1723
3075516,M,1706
3075516,M,1718
3075516,M,1723
3126838,E,1701
3126838,E,1706
3126838,E,1707
3126838,E,1708
3126838,E,1717
3126838,E,1723
3145425,M,1715
3157245,D,1701
3157245,D,1708
3285391,M,1706
3285391,M,1707
3369293,D,1706
3400557,E,1715
3477371,M,1704
3675580,D,1707
4001303,E,1714
4009444,M,1706
4028155,E,1706
4044916,D,1701
4044916,D,1708
4044916,D,1718
4044916,E,1708
4044916,E,1718
4044916,E,1719
4044916,E,1720
4049020,M,1707
5373190,M,1706
5585422,E,1707
5585422,E,1723
5869412,E,1711
5869412,E,1714
6048692,D,1711
6048692,M,1711
6123740,E,1708
6123740,E,1712
6123740,E,1717
6123740,E,1722
6123740,E,1723
6201059,M,1706
6479200,E,1720
6497489,D,1715
6497489,E,1706
6497489,E,1715
6583326,M,1715
6599877,E,1706
6599877,E,1707
6601804,M,1714
6602533,E,1711
6683134,E,1706
6876617,E,1711
6876617,E,1716
7066376,E,1707
7066376,E,1723
7068336,D,1706
7068336,D,1712
7068336,E,1706
7068336,E,1712
7185081,E,1711
7205686,E,1715
7400926,E,1707
7400926,E,1708
7400926,E,1709
7400926,E,1723
7845138,E,1707
7845138,E,1708
7845138,E,1723
7871902,E,1711
7891067,E,1706
8003629,D,1706
9255400,D,1715
9262407,D,1706
9262407,D,1723
9650105,M,1706
9650105,M,1723
